InDate,ExDate,Position,Duration,Entry,Exit,Value,PNL
2014-04-11,2014-04-25,253,14,100.038954,100.55248,129.92207799999971,15526.199234999996
2014-04-29,2014-05-12,254,13,100.381287,101.38134,254.0134619999985,15780.212696999995
2014-07-09,2014-07-22,244,13,105.514689,103.76017,-428.1026360000005,15352.110060999996
2014-09-16,2014-09-23,246,7,102.901009,100.67623,-547.2956339999995,14804.814426999996
2014-11-20,2014-12-04,238,14,103.945496,105.93154,472.67847199999824,15277.492898999993
2014-12-15,2014-12-29,241,14,104.525888,110.18575,1364.026742000001,16641.519640999995
2015-01-05,2015-01-15,247,10,107.618852,104.52399,-764.4309140000015,15877.088726999993
2015-01-16,2015-01-30,248,14,104.141688,105.3159,291.2045759999993,16168.293302999993
2015-03-09,2015-03-20,236,11,110.477018,114.68238,992.4654319999986,17160.758734999992
2015-03-27,2015-04-10,243,14,111.73642,114.69465,718.8498900000001,17879.608624999993
2015-05-01,2015-05-14,251,13,110.951227,113.02383,520.2233530000002,18399.831977999995
2015-06-30,2015-07-14,248,14,114.292889,115.7405,359.00752799999873,18758.839505999993
2015-07-22,2015-07-27,252,5,113.769156,110.55084,-811.0156320000003,17947.823873999994
2015-07-28,2015-08-10,252,13,110.871757,111.1835,78.55923599999818,18026.38310999999
2016-05-02,2016-05-13,268,11,104.514107,101.5592,-791.9150759999977,17234.468033999994
2016-06-14,2016-06-27,257,13,105.959133,100.67922,-1356.9376409999984,15877.530392999995
2016-08-03,2016-08-16,232,13,111.179365,114.00147,654.7283599999985,16532.258752999995
2016-09-12,2016-09-23,236,11,112.408795,116.2461,905.6039800000001,17437.862732999994
2016-10-12,2016-10-25,240,13,114.027013,112.94363,-260.01191999999946,17177.850812999994
2016-10-27,2016-11-02,242,6,112.187107,107.92825,-1030.6433939999981,16147.207418999995
2016-11-03,2016-11-16,241,13,108.255152,120.98499,3067.8909580000004,19215.098376999995
2016-12-02,2016-12-15,238,13,122.292568,127.16781,1160.307596,20375.405972999994
2017-03-08,2017-03-21,235,13,128.742709,125.63857,-729.4726649999975,19645.933307999996
2017-03-22,2017-04-04,236,13,125.394674,127.78727,564.6526560000027,20210.585963999998
2017-04-17,2017-04-28,239,11,126.094405,130.78749,1121.6473149999993,21332.233278999996
2017-05-04,2017-05-17,240,13,130.28904,126.8656,-821.6255999999998,20510.607678999997
2017-05-18,2017-06-01,241,14,126.564625,130.68404,992.7790150000009,21503.386693999997
2017-08-03,2017-08-10,237,7,132.655982,128.71713,-933.5079239999993,20569.87877
2017-08-11,2017-08-24,237,13,128.66047,128.92494,62.67938999999731,20632.558159999997
2017-10-18,2017-10-31,216,13,141.555723,141.32848,-49.084487999997236,20583.473672
2017-11-08,2017-11-21,220,13,138.866655,143.06123,922.806499999997,21506.280172
2018-01-31,2018-02-05,210,5,149.923839,140.59041,-1960.020089999999,19546.260082
2018-02-06,2018-02-20,213,14,138.318823,144.54427,1326.0202110000005,20872.280293
2018-03-01,2018-03-14,216,13,142.614865,149.89529,1572.5717999999956,22444.852092999994
2018-03-20,2018-04-02,217,13,148.906834,141.11507,-1690.8127880000002,20754.039304999995
2018-04-03,2018-04-16,216,13,141.962919,148.01218,1306.6403760000003,22060.679680999994
2018-06-26,2018-07-10,203,14,157.405268,161.13994,758.1384159999977,22818.818096999992
2018-07-30,2018-08-10,207,11,157.994408,160.1743,451.237643999999,23270.055740999993
2018-09-27,2018-10-04,206,7,161.404618,156.87025,-934.0798080000002,22335.975932999994
2018-10-05,2018-10-10,205,5,156.975682,150.08315,-1412.9690600000035,20923.00687299999
2019-07-18,2019-07-31,207,13,149.118955,151.5191,496.8300150000019,21419.836887999994
2019-08-05,2019-08-15,216,10,144.957428,140.80556,-896.8034879999955,20523.0334
2019-09-25,2019-10-08,206,13,147.894969,142.24255,-1164.3983140000018,19358.635086
2020-01-27,2020-02-07,184,11,158.740793,160.71959,364.09864800000264,19722.733734
2020-02-25,2020-02-25,187,1,158.419133,152.36583,-1131.967661,18590.766073000003
2020-02-26,2020-02-27,186,1,153.087146,145.29875,-1448.6416559999957,17142.124417000006
2020-09-04,2020-09-18,177,14,152.883119,150.50703,-420.5677530000013,16721.556664000003
2020-10-29,2020-11-11,177,13,150.568227,170.142,3464.557820999998,20186.114485000002
2021-01-28,2021-02-10,144,13,208.449756,224.30791,2283.574175999998,22469.688661
2021-02-19,2021-03-04,147,13,219.938039,210.77312,-1347.2430929999996,21122.445568
2021-03-05,2021-03-18,145,13,214.431136,222.68649,1197.0263299999974,22319.471897999996
2021-03-24,2021-04-07,148,14,217.367496,218.59839,182.17231200000094,22501.64421
2021-04-21,2021-05-04,151,13,214.963177,221.17375,937.7965230000016,23439.440733
2021-05-05,2021-05-12,150,7,222.154372,209.84218,-1846.8287999999973,21592.611933000004
2021-05-13,2021-05-26,149,13,211.288345,221.23318,1481.7804150000018,23074.392348000005
2021-06-18,2021-07-01,149,13,221.912726,229.54128,1136.6545460000011,24211.046894000006
2021-07-07,2021-07-19,152,12,223.738019,210.03836,-2082.3481679999995,22128.698726000006
2021-07-20,2021-08-02,152,13,210.504597,218.19267,1168.5870960000004,23297.285822000005
2021-08-17,2021-08-30,154,13,214.928953,223.67848,1347.427158,24644.712980000004
2021-09-09,2021-09-22,156,13,221.753987,219.13509,-408.5479320000006,24236.165048000003
2021-10-28,2021-11-10,153,13,223.679518,236.16698,1910.581685999999,26146.746734
2021-11-18,2021-11-30,153,12,235.739112,217.08257,-2854.4509260000004,23292.295808
